date_month,topic_label,count,total,share
2022-01-01,Vaccine Mandates & Work,15,75,0.2
2022-01-01,Vaccine Rollout Progress,9,75,0.12
2022-02-01,COVID-19 Vaccine Progress,6,68,0.08823529411764706
2022-02-01,Federal Vaccine Mandates,12,68,0.17647058823529413
2022-02-01,Remote Work During COVID,10,68,0.14705882352941177
2022-02-01,Remote Work During Pandemic,5,68,0.07352941176470588
2022-02-01,Remote Work Opportunities,2,68,0.029411764705882353
2022-02-01,Remote Work Post-Pandemic,5,68,0.07352941176470588
2022-02-01,Remote Work Tips,4,68,0.058823529411764705
2022-02-01,Vaccine Mandates & Work,16,68,0.23529411764705882
2022-02-01,Vaccine Rollout Progress,8,68,0.11764705882352941
2022-03-01,COVID-19 Vaccine Progress,3,67,0.04477611940298507
2022-03-01,Federal Vaccine Mandates,12,67,0.1791044776119403
2022-03-01,Remote Work During COVID,7,67,0.1044776119402985
2022-03-01,Remote Work During Pandemic,3,67,0.04477611940298507
2022-03-01,Remote Work Opportunities,2,67,0.029850746268656716
2022-03-01,Remote Work Post-Pandemic,6,67,0.08955223880597014
2022-03-01,Remote Work Tips,2,67,0.029850746268656716
2022-03-01,Vaccine Mandates & Work,22,67,0.3283582089552239
2022-03-01,Vaccine Rollout Progress,10,67,0.14925373134328357
2022-04-01,COVID-19 Vaccine Progress,6,92,0.06521739130434782
2022-04-01,Federal Vaccine Mandates,6,92,0.06521739130434782
2022-04-01,Remote Work During COVID,15,92,0.16304347826086957
2022-04-01,Remote Work During Pandemic,7,92,0.07608695652173914
2022-04-01,Remote Work Opportunities,10,92,0.10869565217391304
2022-04-01,Remote Work Post-Pandemic,18,92,0.1956521739130435
2022-04-01,Remote Work Tips,4,92,0.043478260869565216
2022-04-01,Vaccine Mandates & Work,15,92,0.16304347826086957
2022-04-01,Vaccine Rollout Progress,11,92,0.11956521739130435
2022-05-01,COVID-19 Vaccine Progress,7,76,0.09210526315789473
2022-05-01,Federal Vaccine Mandates,2,76,0.02631578947368421
2022-05-01,Remote Work During COVID,11,76,0.14473684210526316
2022-05-01,Remote Work During Pandemic,6,76,0.07894736842105263
2022-05-01,Remote Work Opportunities,2,76,0.02631578947368421
2022-05-01,Remote Work Post-Pandemic,13,76,0.17105263157894737
2022-05-01,Remote Work Tips,6,76,0.07894736842105263
2022-05-01,Vaccine Mandates & Work,17,76,0.2236842105263158
2022-05-01,Vaccine Rollout Progress,12,76,0.15789473684210525
2022-06-01,COVID-19 Vaccine Progress,4,60,0.06666666666666667
2022-06-01,Federal Vaccine Mandates,8,60,0.13333333333333333
2022-06-01,Remote Work During COVID,4,60,0.06666666666666667
2022-06-01,Remote Work During Pandemic,4,60,0.06666666666666667
2022-06-01,Remote Work Opportunities,1,60,0.016666666666666666
2022-06-01,Remote Work Post-Pandemic,10,60,0.16666666666666666
2022-06-01,Remote Work Tips,9,60,0.15
2022-06-01,Vaccine Mandates & Work,12,60,0.2
2022-06-01,Vaccine Rollout Progress,8,60,0.13333333333333333
2022-07-01,COVID-19 Vaccine Progress,4,76,0.05263157894736842
2022-07-01,Federal Vaccine Mandates,6,76,0.07894736842105263
2022-07-01,Remote Work During COVID,10,76,0.13157894736842105
2022-07-01,Remote Work During Pandemic,7,76,0.09210526315789473
2022-07-01,Remote Work Opportunities,6,76,0.07894736842105263
2022-07-01,Remote Work Post-Pandemic,14,76,0.18421052631578946
2022-07-01,Remote Work Tips,5,76,0.06578947368421052
2022-07-01,Vaccine Mandates & Work,6,76,0.07894736842105263
2022-07-01,Vaccine Rollout Progress,18,76,0.23684210526315788
2022-08-01,COVID-19 Vaccine Progress,7,71,0.09859154929577464
2022-08-01,Federal Vaccine Mandates,2,71,0.028169014084507043
2022-08-01,Remote Work During COVID,7,71,0.09859154929577464
2022-08-01,Remote Work During Pandemic,6,71,0.08450704225352113
2022-08-01,Remote Work Opportunities,8,71,0.11267605633802817
2022-08-01,Remote Work Post-Pandemic,12,71,0.16901408450704225
2022-08-01,Remote Work Tips,8,71,0.11267605633802817
2022-08-01,Vaccine Mandates & Work,16,71,0.22535211267605634
2022-08-01,Vaccine Rollout Progress,5,71,0.07042253521126761
2022-09-01,COVID-19 Vaccine Progress,4,32,0.125
2022-09-01,Federal Vaccine Mandates,1,32,0.03125
2022-09-01,Remote Work During COVID,1,32,0.03125
2022-09-01,Remote Work During Pandemic,1,32,0.03125
2022-09-01,Remote Work Opportunities,4,32,0.125
2022-09-01,Remote Work Post-Pandemic,3,32,0.09375
2022-09-01,Remote Work Tips,2,32,0.0625
2022-09-01,Vaccine Mandates & Work,5,32,0.15625
2022-09-01,Vaccine Rollout Progress,11,32,0.34375
2022-10-01,COVID-19 Vaccine Progress,6,62,0.0967741935483871
2022-10-01,Federal Vaccine Mandates,2,62,0.03225806451612903
2022-10-01,Remote Work During COVID,7,62,0.11290322580645161
2022-10-01,Remote Work During Pandemic,1,62,0.016129032258064516
2022-10-01,Remote Work Opportunities,6,62,0.0967741935483871
2022-10-01,Remote Work Post-Pandemic,8,62,0.12903225806451613
2022-10-01,Remote Work Tips,3,62,0.04838709677419355
2022-10-01,Vaccine Mandates & Work,13,62,0.20967741935483872
2022-10-01,Vaccine Rollout Progress,16,62,0.25806451612903225
2022-11-01,COVID-19 Vaccine Progress,7,46,0.15217391304347827
2022-11-01,Federal Vaccine Mandates,2,46,0.043478260869565216
2022-11-01,Remote Work During COVID,3,46,0.06521739130434782
2022-11-01,Remote Work During Pandemic,3,46,0.06521739130434782
2022-11-01,Remote Work Opportunities,1,46,0.021739130434782608
2022-11-01,Remote Work Post-Pandemic,2,46,0.043478260869565216
2022-11-01,Remote Work Tips,1,46,0.021739130434782608
2022-11-01,Vaccine Mandates & Work,17,46,0.3695652173913043
2022-11-01,Vaccine Rollout Progress,10,46,0.21739130434782608
2022-12-01,COVID-19 Vaccine Progress,8,76,0.10526315789473684
2022-12-01,Federal Vaccine Mandates,2,76,0.02631578947368421
2022-12-01,Remote Work During COVID,4,76,0.05263157894736842
2022-12-01,Remote Work During Pandemic,6,76,0.07894736842105263
2022-12-01,Remote Work Opportunities,14,76,0.18421052631578946
2022-12-01,Remote Work Post-Pandemic,7,76,0.09210526315789473
2022-12-01,Remote Work Tips,5,76,0.06578947368421052
2022-12-01,Vaccine Mandates & Work,15,76,0.19736842105263158
2022-12-01,Vaccine Rollout Progress,15,76,0.19736842105263158
2023-01-01,COVID-19 Vaccine Progress,7,51,0.13725490196078433
2023-01-01,Federal Vaccine Mandates,3,51,0.058823529411764705
2023-01-01,Remote Work During COVID,3,51,0.058823529411764705
2023-01-01,Remote Work During Pandemic,2,51,0.0392156862745098
2023-01-01,Remote Work Opportunities,1,51,0.0196078431372549
2023-01-01,Remote Work Post-Pandemic,3,51,0.058823529411764705
2023-01-01,Remote Work Tips,6,51,0.11764705882352941
2023-01-01,Vaccine Mandates & Work,11,51,0.21568627450980393
2023-01-01,Vaccine Rollout Progress,15,51,0.29411764705882354
2023-02-01,Remote Work During COVID,7,62,0.11290322580645161
2023-02-01,Remote Work During Pandemic,4,62,0.06451612903225806
2023-02-01,Remote Work Opportunities,6,62,0.0967741935483871
2023-02-01,Remote Work Post-Pandemic,9,62,0.14516129032258066
2023-02-01,Remote Work Tips,6,62,0.0967741935483871
2023-02-01,Vaccine Mandates & Work,17,62,0.27419354838709675
2023-02-01,Vaccine Rollout Progress,13,62,0.20967741935483872
2023-03-01,COVID-19 Vaccine Progress,4,89,0.0449438202247191
2023-03-01,Federal Vaccine Mandates,2,89,0.02247191011235955
2023-03-01,Remote Work During COVID,9,89,0.10112359550561797
2023-03-01,Remote Work During Pandemic,2,89,0.02247191011235955
2023-03-01,Remote Work Opportunities,18,89,0.20224719101123595
2023-03-01,Remote Work Post-Pandemic,23,89,0.25842696629213485
2023-03-01,Remote Work Tips,10,89,0.11235955056179775
2023-03-01,Vaccine Mandates & Work,14,89,0.15730337078651685
2023-03-01,Vaccine Rollout Progress,7,89,0.07865168539325842
2023-04-01,COVID-19 Vaccine Progress,7,47,0.14893617021276595
2023-04-01,Federal Vaccine Mandates,4,47,0.0851063829787234
2023-04-01,Remote Work During COVID,4,47,0.0851063829787234
2023-04-01,Remote Work During Pandemic,1,47,0.02127659574468085
2023-04-01,Remote Work Post-Pandemic,6,47,0.1276595744680851
2023-04-01,Remote Work Tips,1,47,0.02127659574468085
2023-04-01,Vaccine Mandates & Work,14,47,0.2978723404255319
2023-04-01,Vaccine Rollout Progress,10,47,0.2127659574468085
2023-05-01,COVID-19 Vaccine Progress,9,55,0.16363636363636364
2023-05-01,Federal Vaccine Mandates,6,55,0.10909090909090909
2023-05-01,Remote Work During COVID,2,55,0.03636363636363636
2023-05-01,Remote Work Opportunities,3,55,0.05454545454545454
2023-05-01,Remote Work Post-Pandemic,9,55,0.16363636363636364
2023-05-01,Vaccine Mandates & Work,21,55,0.38181818181818183
2023-05-01,Vaccine Rollout Progress,5,55,0.09090909090909091
2023-06-01,COVID-19 Vaccine Progress,12,57,0.21052631578947367
2023-06-01,Federal Vaccine Mandates,1,57,0.017543859649122806
2023-06-01,Remote Work During COVID,1,57,0.017543859649122806
2023-06-01,Remote Work Opportunities,8,57,0.14035087719298245
2023-06-01,Remote Work Post-Pandemic,4,57,0.07017543859649122
2023-06-01,Remote Work Tips,11,57,0.19298245614035087
2023-06-01,Vaccine Mandates & Work,11,57,0.19298245614035087
2023-06-01,Vaccine Rollout Progress,9,57,0.15789473684210525
2023-07-01,COVID-19 Vaccine Progress,5,43,0.11627906976744186
2023-07-01,Federal Vaccine Mandates,2,43,0.046511627906976744
2023-07-01,Remote Work During COVID,8,43,0.18604651162790697
2023-07-01,Remote Work During Pandemic,1,43,0.023255813953488372
2023-07-01,Remote Work Post-Pandemic,4,43,0.09302325581395349
2023-07-01,Remote Work Tips,3,43,0.06976744186046512
2023-07-01,Vaccine Mandates & Work,12,43,0.27906976744186046
2023-07-01,Vaccine Rollout Progress,8,43,0.18604651162790697
2023-08-01,COVID-19 Vaccine Progress,11,88,0.125
2023-08-01,Federal Vaccine Mandates,1,88,0.011363636363636364
2023-08-01,Remote Work During COVID,8,88,0.09090909090909091
2023-08-01,Remote Work During Pandemic,9,88,0.10227272727272728
2023-08-01,Remote Work Opportunities,8,88,0.09090909090909091
2023-08-01,Remote Work Post-Pandemic,27,88,0.3068181818181818
2023-08-01,Remote Work Tips,10,88,0.11363636363636363
2023-08-01,Vaccine Mandates & Work,8,88,0.09090909090909091
2023-08-01,Vaccine Rollout Progress,6,88,0.06818181818181818
2023-09-01,COVID-19 Vaccine Progress,9,42,0.21428571428571427
2023-09-01,Federal Vaccine Mandates,1,42,0.023809523809523808
2023-09-01,Remote Work During COVID,3,42,0.07142857142857142
2023-09-01,Remote Work During Pandemic,1,42,0.023809523809523808
2023-09-01,Remote Work Opportunities,2,42,0.047619047619047616
2023-09-01,Remote Work Post-Pandemic,3,42,0.07142857142857142
2023-09-01,Vaccine Mandates & Work,12,42,0.2857142857142857
2023-09-01,Vaccine Rollout Progress,11,42,0.2619047619047619
2023-10-01,COVID-19 Vaccine Progress,12,78,0.15384615384615385
2023-10-01,Remote Work During COVID,5,78,0.0641025641025641
2023-10-01,Remote Work During Pandemic,2,78,0.02564102564102564
2023-10-01,Remote Work Opportunities,20,78,0.2564102564102564
2023-10-01,Remote Work Post-Pandemic,15,78,0.19230769230769232
2023-10-01,Remote Work Tips,4,78,0.05128205128205128
2023-10-01,Vaccine Mandates & Work,7,78,0.08974358974358974
2023-10-01,Vaccine Rollout Progress,13,78,0.16666666666666666
2023-11-01,COVID-19 Vaccine Progress,3,42,0.07142857142857142
2023-11-01,Federal Vaccine Mandates,1,42,0.023809523809523808
2023-11-01,Remote Work During COVID,5,42,0.11904761904761904
2023-11-01,Remote Work During Pandemic,2,42,0.047619047619047616
2023-11-01,Remote Work Post-Pandemic,8,42,0.19047619047619047
2023-11-01,Remote Work Tips,5,42,0.11904761904761904
2023-11-01,Vaccine Mandates & Work,11,42,0.2619047619047619
2023-11-01,Vaccine Rollout Progress,7,42,0.16666666666666666
2023-12-01,COVID-19 Vaccine Progress,7,76,0.09210526315789473
2023-12-01,Remote Work During COVID,15,76,0.19736842105263158
2023-12-01,Remote Work Opportunities,17,76,0.2236842105263158
2023-12-01,Remote Work Post-Pandemic,9,76,0.11842105263157894
2023-12-01,Remote Work Tips,4,76,0.05263157894736842
2023-12-01,Vaccine Mandates & Work,12,76,0.15789473684210525
2023-12-01,Vaccine Rollout Progress,12,76,0.15789473684210525
