text,replies,retweets,likes,views,author_name,author_handle,publication_time
"Sarkaar and Majlis, make a Gaanoon: 
1. Dhivessakah veveynee vaccine jahaigen. 
2. ID card adhi passport ves hedheynee vaccine jahaigen.
3. Medianet Decoder libeynee ves vaccine jahaigen.
4. Crossroads ah dheveynee ves vaccine jahaigen.

100% will be vaccinated in 1 year. Gerey!",14,53,259,0,@waddey,@waddey,2020-02-12T18:43:53.000Z
Scientists are working on #Coronavirus vaccines but it will take more than a year of research and testing https://vaccinestoday.eu/stories/wanted-coronavirus-vaccines/… #COVID19,81,868,1.8K,0,VaccinesToday,@VaccinesToday,2020-02-12T18:43:53.000Z
Who wants to be the test subject(s)? Not us. RT Drugmaker Moderna's coronavirus vaccine ready for human testing,76,204,293,0,The HighWire,@HighWireTalk,2020-02-12T18:43:53.000Z
"Due to coronavirus, millions across Asia are participating in what may be the world's biggest work-from-home experiment. For some, it's a nightmare. But it's been so well received in some sectors that employers are considering adopting it more permanently. https://cnn.it/38wDnLD",25,182,358,0,CNN,@CNN,2020-02-12T18:43:53.000Z
The National Institutes of Health is working on a vaccine against the new virus that has infected hundreds and killed four in Asia https://cnn.it/3atPMBv,20,105,226,0,CNN,@CNN,2020-02-12T18:43:53.000Z
The National Institutes of Health is working on a vaccine against the new virus that has infected hundreds and killed four in Asia https://cnn.it/2v6ATop,5,84,150,0,CNN International,@cnni,2020-02-12T18:43:53.000Z
and he doesn’t even look like he’s in a real laboratory???? the setting looks very office building-like idk i could be wrong but there’s no point in feeding into this mass hysteria when we damn well know there’s gonna be a vaccine soon and no one will speak of it again,3,5,191,0,,·,2020-02-12T18:43:53.000Z
"Remote work:
Day to day written team communication - staring at a screen
Video meetings - staring at a screen
Daily design work - staring at a screen
Brainstorming and feedback rounds - staring at a screen

Finding time away from screens before and after work is *so* important.",18,48,340,0,Alex,@alexmuench,2020-01-29T20:54:53.000Z
"On February 24th, biotech company Moderna announced that the 1st batch of its vaccine candidate, called mRNA-1273, had been shipped to the National Institute of Allergy and Infectious Diseases and will soon begin phase 1 clinical trials for the coronavirus http://on.forbes.com/60171WRef",10,132,185,0,Forbes,@Forbes,2020-01-29T20:54:53.000Z
It especially targets people with weak immune systems such as those in professions that require them to sit at a computer all day.,3,2,282,0,Ben Callicott,@BenCallicott,2020-01-29T20:54:53.000Z
"Nobody would come to work sick if they could work from home. 30 years ago it was widely assumed that 80% of “knowledge workers” would work from home by now. Why aren’t they? 

MANAGERIAL FEAR

HP, Yahoo & other firms even abolished existing WFH programs

(Gotta see you working)",9,26,149,0,Liz Ryan,@humanworkplace,2020-01-29T20:54:53.000Z
"GMO、新型肺炎で国内4000人を在宅勤務に 27日から: 日本経済新聞 https://nikkei.com/article/DGXMZO54866090W0A120C2TJC000/…

ぜひ日本全国の会社が実施してほしいです",7,112,236,0,東雲くによし(Shinonome Kuniyoshi),@kuniyoshi_shino,2020-01-29T20:54:53.000Z
"Hey adults!

Don't be like those anti-vaxxers.

You are fully up to date according to the CDC schedule, right?

https://cdc.gov/vaccines/schedules/hcp/imz/adult.html…",80,52,212,0,Cernovich,@Cernovich,2020-01-29T20:54:53.000Z
"As expected, Moderna has quickly put together vaccine candidates for #Covid19. As expected, coverage of same suggests vax might be ""widely available"" next year. 
The partners in this project do not have large-scale production capacity. Big missing piece.",32,167,315,0,Helen Branswell,@HelenBranswell,2020-01-29T20:54:53.000Z
"Just 42 days after #China released the genetic sequence of the new #coronavirus, biotech Moderna Therapeutics shipped its #COVID19 vaccine to NIH to start human testing in April.

Sadly, still many months away from having a #COVID19 vaccine.
@thespybrief",28,330,497,0,"Dena Grayson, MD, PhD drdenagrayson.bsky.social",@DrDenaGrayson,2020-01-29T20:54:53.000Z
"#Read of the day: Practical ways to avoid remote work burn-out with Scott Dawson - 
@scottpdawson
 of 
@workingrem
 collaborated with us on this piece about how to avoid remote work burn-out. Share this with someone who needs it!
https://hubs.ly/H0n3Jld0",3,79,992,0,Remoter Project,@remoterproject,2020-01-29T20:54:53.000Z
"COVID-19 Vaccine Shipped, and Drug Trials Start | Time - work supported by 
@NIH
 & 
@CEPIvaccines
 https://time.com/5790545/first-covid-19-vaccine/…",16,323,547,0,Jeremy Farrar,@JeremyFarrar,2020-01-29T20:54:53.000Z
"The only way to do this is with a real chain of command that can distribute supplies, coordinate funds, work with cities & states & hospitals (the front line), coordinate vaccine testing, and let the professionals at the CDC call the shots. 4/",7,118,326,0,Andy Slavitt,@ASlavitt,2020-01-29T20:54:53.000Z
Patients who contract the coronavirus who employ no fewer than 5 people for 3 years will receive a one time tax credit of $300 to apply toward the vaccine.,11,158,1K,0,luke,@lukeoneil47,2020-02-27T18:22:59.000Z
"Reuters: JAPAN PM ABE: SOME REGIONS ARE SEEING CLUSTERS OF CORONAVIRUS INFECTIONS, TO RECOMMEND TELECOMMUTING, STAGGERED WORK HOURS",9,184,291,0,Vincent Lee,@Rover829,2020-02-27T18:22:59.000Z
"Moderna Therapeutics, a biotech company based in Cambridge, Mass., has shipped the first batches of its COVID-19 vaccine https://ti.me/38Viwlo",31,457,607,0,TIME,@TIME,2020-02-27T18:22:59.000Z
"Moderna Therapeutics, a biotech company based in Cambridge, Mass., has shipped the first batches of its COVID-19 vaccine",27,540,761,0,TIME,@TIME,2020-02-27T18:22:59.000Z
"This outbreak is making us busier

Even the clinic staffs have to be oncall 24/7, guarding the ports/airports that received foreign workers from china, screening every single one. 

Medical workers are the ones who are most exposed and we have to be the very cautious.",28,48,287,0,Tina,@taesecretfan,2020-02-27T18:22:59.000Z
haven’t been reading too much about coronavirus bc it’s one of those “i have no idea what to do about this” problems but this was very good  https://theatlantic.com/health/archive/2020/02/covid-vaccine/607000/…,8,125,453,0,Brandy Jensen,@BrandyLJensen,2020-02-27T18:22:59.000Z
"Moderna Therapeutics, a biotech company based in Cambridge, Mass., has shipped the first batches of its COVID-19 vaccine https://ti.me/3cbi9Fj",22,391,586,0,TIME,@TIME,2020-02-27T18:22:59.000Z
"Due to coronavirus, millions across Asia are participating in what may be the world's biggest work-from-home experiment. For some, it's a nightmare. But it's been so well received in some sectors that employers are considering adopting it more permanently. https://cnn.it/39yMlIq",6,122,175,0,CNN International,@cnni,2020-02-27T18:22:59.000Z
"Moderna Therapeutics, a biotech company based in Cambridge, Mass., has shipped the first batches of its COVID-19 vaccine https://ti.me/2HT4yon",20,481,724,0,TIME,@TIME,2020-02-27T18:22:59.000Z
My Hubs is working on the vaccine! Apparently several companies are testing the new virus against existing vaccine models to see if one of them can be adapted quicker.,1,3,225,0,Nayyera,@nayyeroar,2020-02-27T18:22:59.000Z
"Due to coronavirus, millions across Asia are participating in what may be the world's biggest work-from-home experiment. For some, it's a nightmare. But it's been so well received in some sectors that employers are considering adopting it more permanently. https://cnn.it/37v9dXO",4,104,194,0,CNN International,@cnni,2020-02-27T18:22:59.000Z
"Due to coronavirus, millions across Asia are participating in what may be the world's biggest work-from-home experiment. For some, it's a nightmare. But it's been so well received in some sectors that employers are considering adopting it more permanently. https://cnn.it/2vDAgTK",5,74,174,0,CNN International,@cnni,2020-02-27T18:22:59.000Z
"Dear employers, 
If your team can work remotely pls let them work remotely 

You can have 1 or 2 physical meetings per week",8,127,206,0,Olúwatósìn Olaseinde,@tosinolaseinde,2020-02-27T18:22:59.000Z
The National Institutes of Health is working on a vaccine against the new virus that has infected hundreds and killed four in Asia https://cnn.it/2sIMtoW,39,121,204,0,CNN,@CNN,2020-02-27T18:22:59.000Z
"Due to coronavirus, millions across Asia are participating in what may be the world's biggest work-from-home experiment. For some, it's a nightmare. But it's been so well received in some sectors that employers are considering adopting it more permanently. https://cnn.it/38v8qrj",5,97,188,0,CNN International,@cnni,2020-02-16T08:46:06.000Z
US biotech firm Moderna has shipped an experimental coronavirus vaccine to US government researchers just six weeks after it started working on the immunization. https://cnn.it/3afAnE7,24,77,157,0,CNN,@CNN,2020-02-16T08:46:06.000Z
"In major hubs like Hong Kong and Singapore, millions of people are holed up in their apartments in what may be the world's biggest work-from-home experiment. https://cnn.it/39HIYPy",12,75,186,0,CNN,@CNN,2020-02-16T08:46:06.000Z
"""In order to get a [coronavirus] vaccine that's practically deployable for people to use, it's going to be at least a year to a year and a half at best,"" said Fauci",4,23,309,0,Samir,@Average_Sam_101,2020-02-16T08:46:06.000Z
"【IT大手】GMO、新型肺炎予防で在宅勤務に 27日から
https://news.livedoor.com/article/detail/17721841/…

国内の従業員の大半にあたる約4千人が対象。同社ではテレワークで対応できる業務も多いことから、こうした対応を決めたという。",19,809,931,0,ライブドアニュース,@livedoornews,2020-02-16T08:46:06.000Z
"Employers should give their workers the choice to ""work from home"" amid the spread of novel coronavirus in the country, Senator Risa Hontiveros suggests. https://bit.ly/2SgrKTv",10,601,806,0,NewsWatch Plus PH,@newswatchplusph,2020-02-16T08:46:06.000Z
