Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,price_z,price_bin_q4
11,20.0,RL,70.0,11200.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,5.0,1965.0,1965.0,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906.0,Unf,0.0,134.0,1040.0,GasA,Ex,Y,SBrkr,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,1965.0,Unf,1.0,384.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,2.0,2008.0,WD,Normal,129500,-0.6474974110046959,Low
12,60.0,RL,85.0,11924.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.0,5.0,2005.0,2006.0,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998.0,Unf,0.0,177.0,1175.0,GasA,Ex,Y,SBrkr,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,4.0,1.0,Ex,11.0,Typ,2.0,Gd,BuiltIn,2005.0,Fin,3.0,736.0,TA,TA,Y,147.0,21.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2006.0,New,Partial,345000,2.0660857652576956,High
13,20.0,RL,69.0,12968.0,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1962.0,1962.0,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737.0,Unf,0.0,175.0,912.0,GasA,TA,Y,SBrkr,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,NA,Detchd,1962.0,Unf,1.0,352.0,TA,TA,Y,140.0,0.0,0.0,0.0,176.0,0.0,NA,NA,NA,0.0,9.0,2008.0,WD,Normal,144000,-0.46491292814713364,MidLow
14,20.0,RL,91.0,10652.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7.0,5.0,2006.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494.0,1494.0,GasA,Ex,Y,SBrkr,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2006.0,RFn,3.0,840.0,TA,TA,Y,160.0,33.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2007.0,New,Partial,279500,1.2413075840735348,High
15,20.0,RL,69.0,10920.0,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,5.0,1960.0,1960.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733.0,Unf,0.0,520.0,1253.0,GasA,TA,Y,SBrkr,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,Typ,1.0,Fa,Attchd,1960.0,RFn,1.0,352.0,TA,TA,Y,0.0,213.0,176.0,0.0,0.0,0.0,NA,GdWo,NA,0.0,5.0,2008.0,WD,Normal,157000,-0.3012164952403536,MidLow
16,45.0,RM,51.0,6120.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7.0,8.0,1929.0,2001.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832.0,832.0,GasA,Ex,Y,FuseA,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,0.0,NA,Detchd,1991.0,Unf,2.0,576.0,TA,TA,Y,48.0,112.0,0.0,0.0,0.0,0.0,NA,GdPrv,NA,0.0,7.0,2007.0,WD,Normal,132000,-0.616017327753392,MidLow
17,20.0,RL,69.0,11241.0,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,7.0,1970.0,1970.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,1.0,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,Shed,700.0,3.0,2010.0,WD,Normal,149000,-0.4019527616445259,MidLow
18,90.0,RL,72.0,10791.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4.0,5.0,1967.0,1967.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,GasA,TA,Y,SBrkr,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,2.0,2.0,TA,6.0,Typ,0.0,NA,CarPort,1967.0,Unf,2.0,516.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,Shed,500.0,10.0,2006.0,WD,Normal,90000,-1.1448827263752968,Low
19,20.0,RL,66.0,13695.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5.0,5.0,2004.0,2004.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646.0,Unf,0.0,468.0,1114.0,GasA,Ex,Y,SBrkr,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,NA,Detchd,2004.0,Unf,2.0,576.0,TA,TA,Y,0.0,102.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2008.0,WD,Normal,159000,-0.27603242863931055,MidLow
20,20.0,RL,70.0,7560.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1958.0,1965.0,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504.0,Unf,0.0,525.0,1029.0,GasA,TA,Y,SBrkr,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Min1,0.0,NA,Attchd,1958.0,Unf,1.0,294.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,5.0,2009.0,COD,Abnorml,139000,-0.5278730946497413,MidLow
21,60.0,RL,101.0,14215.0,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2005.0,2006.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158.0,1158.0,GasA,Ex,Y,SBrkr,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Gd,BuiltIn,2005.0,RFn,3.0,853.0,TA,TA,Y,240.0,154.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,11.0,2006.0,New,Partial,325300,1.8180227092374213,High
22,45.0,RM,57.0,7449.0,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7.0,7.0,1930.0,1950.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637.0,637.0,GasA,Ex,Y,FuseF,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,1930.0,Unf,1.0,280.0,TA,TA,N,0.0,0.0,205.0,0.0,0.0,0.0,NA,GdPrv,NA,0.0,6.0,2007.0,WD,Normal,139400,-0.5228362813295326,MidLow
23,20.0,RL,75.0,9742.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2002.0,2002.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777.0,1777.0,GasA,Ex,Y,SBrkr,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2002.0,RFn,2.0,534.0,TA,TA,Y,171.0,159.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9.0,2008.0,WD,Normal,230000,0.6180019356977187,High
24,120.0,RM,44.0,4224.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5.0,7.0,1976.0,1976.0,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840.0,Unf,0.0,200.0,1040.0,GasA,TA,Y,SBrkr,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,TA,Attchd,1976.0,Unf,2.0,572.0,TA,TA,Y,100.0,110.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2007.0,WD,Normal,129900,-0.6424605976844873,Low
25,20.0,RL,69.0,8246.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,8.0,1968.0,2001.0,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188.0,ALQ,668.0,204.0,1060.0,GasA,Ex,Y,SBrkr,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,1968.0,Unf,1.0,270.0,TA,TA,Y,406.0,90.0,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,5.0,2010.0,WD,Normal,154000,-0.33899259514191826,MidLow
26,20.0,RL,110.0,14230.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566.0,1566.0,GasA,Ex,Y,SBrkr,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0.0,56.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,7.0,2009.0,WD,Normal,256300,0.949172411501435,High
27,20.0,RL,60.0,7200.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,7.0,1951.0,2000.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,900.0,GasA,TA,Y,SBrkr,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,3.0,1.0,Gd,5.0,Typ,0.0,NA,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,222.0,32.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5.0,2010.0,WD,Normal,134800,-0.5807596345119318,MidLow
28,20.0,RL,98.0,11478.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2008.0,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,1.0,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0.0,50.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,5.0,2010.0,WD,Normal,306000,1.5749964665373555,High
29,20.0,RL,47.0,16321.0,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1957.0,1997.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207.0,1484.0,GasA,TA,Y,SBrkr,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,6.0,Typ,2.0,Gd,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,288.0,258.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,12.0,2006.0,WD,Normal,207500,0.33468118643598405,MidHigh
30,30.0,RM,60.0,6324.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4.0,6.0,1927.0,1950.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,520.0,GasA,Fa,N,SBrkr,520.0,0.0,0.0,692.18,0.0,0.0,1.0,0.0,1.0,1.0,Fa,4.0,Typ,0.0,NA,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,49.0,0.0,87.0,0.0,0.0,0.0,NA,NA,NA,0.0,5.0,2008.0,WD,Normal,68500,-1.4156114423365098,Low
31,70.0,C (all),50.0,8500.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4.0,4.0,1920.0,1950.0,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649.0,649.0,GasA,TA,N,SBrkr,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,NA,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,0.0,54.0,172.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,7.0,2008.0,WD,Normal,40000,-1.7744843914013735,Low
32,20.0,RL,69.0,8544.0,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.0,6.0,1966.0,2006.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228.0,1228.0,GasA,Gd,Y,SBrkr,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,3.0,1.0,Gd,6.0,Typ,0.0,NA,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,0.0,65.0,0.0,0.0,0.0,0.0,NA,MnPrv,NA,0.0,6.0,2008.0,WD,Normal,149350,-0.3975455499893434,MidLow
33,20.0,RL,85.0,11049.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.0,5.0,2007.0,2007.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234.0,1234.0,GasA,Ex,Y,SBrkr,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,3.0,1.0,Gd,7.0,Typ,0.0,NA,Attchd,2007.0,RFn,2.0,484.0,TA,TA,Y,0.0,30.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,1.0,2008.0,WD,Normal,179900,-0.01285893265841041,MidHigh
34,20.0,RL,70.0,10552.0,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,5.0,1959.0,1959.0,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0.0,380.0,1398.0,GasA,Gd,Y,SBrkr,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,4.0,1.0,Gd,6.0,Typ,1.0,Gd,Attchd,1959.0,RFn,2.0,447.0,TA,TA,Y,0.0,38.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,4.0,2010.0,WD,Normal,165500,-0.19418421218592055,MidHigh
35,120.0,RL,60.0,7313.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9.0,5.0,2005.0,2005.0,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0.0,408.0,1561.0,GasA,Ex,Y,SBrkr,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,2.0,1.0,Ex,6.0,Typ,1.0,Gd,Attchd,2005.0,Fin,2.0,556.0,TA,TA,Y,203.0,47.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,8.0,2007.0,WD,Normal,277500,1.2161235174724916,High
36,60.0,RL,108.0,13418.0,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.0,5.0,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1117.0,1117.0,GasA,Ex,Y,SBrkr,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,4.0,1.0,Gd,9.0,Typ,1.0,Gd,BuiltIn,2004.0,Fin,3.0,691.0,TA,TA,Y,113.0,32.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,9.0,2006.0,WD,Normal,309000,1.61277256643892,High
37,20.0,RL,112.0,10859.0,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.0,5.0,1994.0,1995.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1097.0,1097.0,GasA,Ex,Y,SBrkr,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,NA,Attchd,1995.0,Unf,2.0,672.0,TA,TA,Y,392.0,64.0,0.0,0.0,0.0,0.0,NA,NA,NA,0.0,6.0,2009.0,WD,Normal,145000,-0.4523208948466121,MidLow
